,target,prob,e_val,qStartPos,qEndPos
715,AF-A0AAE0F8A4-F1-model_v6,1.00,2.09e-10,1989,2371
716,AF-A0A183HCD1-F1-model_v6,1.00,1.79e-7,1442,1849
717,AF-A0ABD2HDG7-F1-model_v6,1.00,1.18e-26,2175,2521
718,AF-A0A183VD39-F1-model_v6,1.00,1.03e-10,1,331
719,MGYP004143766219,1.00,1.40e-2,8,330
720,AF-A0A8C5MLX6-F1-model_v6,1.00,1.17e-29,2151,2437
721,AF-A0AAD9NNZ4-F1-model_v6,1.00,1.10e-11,792,1210
722,AF-A0A2S2NEI4-F1-model_v6,1.00,1.81e-11,1,344
723,AF-T1JJ10-F1-model_v6,1.00,3.46e-12,15,334
724,AF-A0A0M3K218-F1-model_v6,1.00,2.74e-4,972,1304
725,AF-A0A2P6NPF4-F1-model_v6,1.00,2.97e-16,2143,2521
726,AF-A0A2M3Z5M4-F1-model_v6,1.00,6.41e-17,1868,2222
727,AF-A0A1I8IJZ5-F1-model_v6,1.00,1.11e-8,2,334
728,AF-A0AAN8F2L5-F1-model_v6,1.00,1.74e-11,1004,1323
729,AF-A0A1B8XSU9-F1-model_v6,1.00,5.06e-21,1994,2366
730,AF-A0A8S3RJQ7-F1-model_v6,1.00,9.73e-12,487,830
731,AF-A0AAY4CM27-F1-model_v6,1.00,3.82e-11,2154,2430
732,AF-A0A2G9TQB7-F1-model_v6,1.00,6.78e-9,1506,2107
733,AF-A0A6F9ATH3-F1-model_v6,1.00,5.32e-11,335,712
734,AF-A0A8T3D2L5-F1-model_v6,1.00,2.51e-16,1,310
735,AF-A0A8D0GQJ7-F1-model_v6,1.00,1.69e-15,2158,2431
736,AF-A0A1Y3B0P7-F1-model_v6,1.00,1.71e-12,432,712
737,AF-A0A1S3QTI3-F1-model_v6,1.00,3.89e-10,1,284
738,AF-A0A4Z2ELG7-F1-model_v6,1.00,7.85e-22,726,1069
739,AF-A0A817ZTM7-F1-model_v6,1.00,3.73e-10,3,334
740,MGYP002649313278,1.00,8.80e-18,2184,2492
741,AF-A0A6M2D0W9-F1-model_v6,0.01,0.457,1,365
742,AF-A0A0R3TBA5-F1-model_v6,0.00,0.367,626,1126
743,AF-A0A6B2EFU6-F1-model_v6,1.00,4.81e-12,1,332
744,AF-A0A9Y4NNJ4-F1-model_v6,1.00,1.18e-7,110,402
745,AF-A0A2G9QGA6-F1-model_v6,1.00,1.24e-14,1099,1338
746,AF-A0A6J2Y2Q0-F1-model_v6,1.00,4.90e-11,1904,2179
747,AF-A0A368GKN7-F1-model_v6,0.01,0.442,858,1938
748,AF-A0A3Q0J524-F1-model_v6,1.00,9.06e-9,1086,1359
749,AF-A0A6I9MRK6-F1-model_v6,1.00,7.88e-17,779,1068
750,AF-A0A670I0W2-F1-model_v6,1.00,1.12e-15,2127,2438
751,AF-A0AAD9CQD2-F1-model_v6,1.00,3.40e-20,1,332
752,AF-A0A6J8CMV1-F1-model_v6,1.00,1.26e-13,1,334
753,AF-A0A6A7GE54-F1-model_v6,1.00,1.51e-12,2005,2343
754,AF-A0A0Q9WVM2-F1-model_v6,1.00,3.66e-4,112,433
755,AF-A0A5C6PG30-F1-model_v6,1.00,1.03e-22,2235,2519
756,AF-A0A0R3VWS1-F1-model_v6,1.00,7.27e-5,114,424
757,AF-A0A7S0V5N2-F1-model_v6,1.00,1.15e-6,1951,2195
758,AF-A0A672LET4-F1-model_v6,1.00,8.11e-13,2151,2413
759,AF-A0A8D9BT13-F1-model_v6,1.00,4.14e-4,465,877
760,AF-A0AAR5PH95-F1-model_v6,1.00,6.66e-10,826,1149
761,AF-A0A3Q1FWF1-F1-model_v6,1.00,3.74e-17,2225,2431
762,AF-L8IRV3-F1-model_v6,1.00,1.60e-18,22,335
763,AF-A0A484D665-F1-model_v6,1.00,5.16e-8,92,390
764,AF-A0A811UNW6-F1-model_v6,1.00,2.68e-10,1,334
765,AF-A0A7S1JC18-F1-model_v6,1.00,1.54e-6,1933,2201
766,MGYP003976619017,1.00,1.08e-3,18,334
767,AF-A0AAN8IK24-F1-model_v6,1.00,3.23e-4,742,998
768,AF-A0AAD7R7M0-F1-model_v6,1.00,3.60e-12,1157,1475
769,AF-A0A3Q3AJ54-F1-model_v6,0.00,0.346,1992,2428
770,AF-A0AAR5PG41-F1-model_v6,1.00,1.62e-8,1,334
771,AF-A0A6I9Z0X9-F1-model_v6,1.00,5.66e-17,198,513
772,AF-A0A822CMU4-F1-model_v6,1.00,1.84e-15,2121,2413
773,AF-A0AAR5PBX4-F1-model_v6,1.00,9.34e-12,2140,2423
774,AF-A0A8C6X240-F1-model_v6,1.00,9.40e-14,2151,2432
775,AF-A0A1S3QV79-F1-model_v6,1.00,2.06e-6,180,452
776,AF-A0A8T2NQ65-F1-model_v6,1.00,2.09e-10,544,830
777,AF-A0AAV7Y9L0-F1-model_v6,1.00,1.65e-2,1867,2110
778,AF-A0A5J5CDK9-F1-model_v6,1.00,1.67e-18,1912,2209
779,MGYP000968413431,1.00,3.58e-3,1,334
780,AF-A0A3B3YH69-F1-model_v6,1.00,1.32e-15,870,1152
781,AF-A0A3S1GYC3-F1-model_v6,1.00,9.73e-12,588,930
782,AF-A0A2A2KLA2-F1-model_v6,1.00,4.64e-7,757,1067
783,AF-A0AAV8VC63-F1-model_v6,1.00,9.71e-5,1153,1442
784,AF-A0A8S3YZY5-F1-model_v6,1.00,1.27e-10,1,332
785,AF-A0A6P4F8A0-F1-model_v6,1.00,4.77e-3,106,334
786,AF-A0A6G0YNA4-F1-model_v6,1.00,8.37e-4,564,875
787,AF-A0A3Q4I3S6-F1-model_v6,1.00,1.32e-27,2138,2431
788,AF-A0A8X8BPN0-F1-model_v6,1.00,6.16e-5,182,421
789,MGYP001814753479,0.20,9.79e+0,2380,2448
790,AF-A0A8C6U9M5-F1-model_v6,1.00,3.40e-13,2160,2430
791,AF-A0A8S3RJ36-F1-model_v6,1.00,5.74e-9,52,362
792,AF-A0A0B7AHW3-F1-model_v6,0.00,0.448,1,324
793,AF-A0A1A6FZK6-F1-model_v6,1.00,8.30e-14,2053,2349
794,AF-A0A8B7QJD2-F1-model_v6,1.00,2.55e-8,1,279
795,MGYP000871480311,1.00,3.03e-3,1,334
796,AF-T1KNZ3-F1-model_v6,1.00,5.78e-11,1907,2169
797,AF-A0AB40DK97-F1-model_v6,1.00,6.65e-3,187,552
798,AF-A0A974HE65-F1-model_v6,1.00,2.56e-22,2225,2521
799,AF-A0A8K9Y235-F1-model_v6,1.00,4.65e-14,2152,2426
800,AF-A0ABC9HHQ9-F1-model_v6,1.00,7.49e-8,1703,2053
801,AF-A0ABD2QNI8-F1-model_v6,1.00,1.62e-3,1443,1808
802,AF-A0A6V7M724-F1-model_v6,1.00,4.87e-9,25,337
803,AF-A0A3P7JS90-F1-model_v6,1.00,9.22e-8,2218,2438
804,AF-A0ABD0Y9M1-F1-model_v6,1.00,9.78e-7,96,334
805,AF-A0A212CB84-F1-model_v6,1.00,4.34e-6,1653,1882
806,AF-A0A4Z2JFU7-F1-model_v6,1.00,8.23e-5,1,195
807,AF-A0A443SKC9-F1-model_v6,1.00,3.51e-4,23,284
808,AF-A0A182SS01-F1-model_v6,1.00,1.69e-15,1888,2177
809,AF-A0A0B2V010-F1-model_v6,1.00,7.51e-15,2252,2521
810,AF-A0A8C5GF00-F1-model_v6,1.00,1.06e-11,2152,2413
811,AF-A0A8C6U0L7-F1-model_v6,1.00,4.59e-10,2147,2327
812,AF-A0A8J2LZ33-F1-model_v6,1.00,8.03e-4,955,1231
813,AF-A0A914YCQ6-F1-model_v6,1.00,5.91e-5,535,734
814,AF-A0A9R0AQT2-F1-model_v6,1.00,5.92e-12,2128,2348
815,AF-A0A7S3CLZ0-F1-model_v6,1.00,2.83e-2,2032,2176
816,AF-A0AAV6Z432-F1-model_v6,1.00,5.23e-31,2171,2438
817,AF-A0AAR5PES9-F1-model_v6,1.00,1.44e-5,93,347
818,AF-A0AA88IAZ9-F1-model_v6,1.00,2.78e-15,1965,2229
819,AF-V9IK95-F1-model_v6,1.00,7.19e-8,475,712
820,AF-A0A914MI56-F1-model_v6,1.00,1.08e-5,432,715
821,AF-A0A817XFG8-F1-model_v6,1.00,7.89e-5,1065,1265
822,AF-A0A9Q1HZ82-F1-model_v6,1.00,7.58e-24,2254,2521
823,AF-A0A820BCK6-F1-model_v6,1.00,6.50e-9,1989,2259
824,MGYP003564757857,1.00,5.27e-7,407,664
825,AF-A0A183HEN9-F1-model_v6,1.00,4.14e-4,211,470
826,AF-A0AAD9BJM7-F1-model_v6,1.00,5.45e-12,2225,2519
827,AF-A0A0S7EXS0-F1-model_v6,1.00,2.45e-8,1653,1875
828,AF-A0A7L1ZE62-F1-model_v6,1.00,3.40e-13,889,1151
829,AF-A0A0B7AR44-F1-model_v6,1.00,3.80e-9,917,1169
830,AF-A0A0L8GD86-F1-model_v6,1.00,2.25e-8,1,283
831,AF-A0A151LZN4-F1-model_v6,1.00,5.82e-13,368,624
832,AF-H3D0X4-F1-model_v6,1.00,1.60e-4,192,408
833,AF-A0A158QCP7-F1-model_v6,1.00,1.07e-8,958,1213
834,AF-A0A8C3XJ48-F1-model_v6,1.00,1.15e-11,2154,2428
835,AF-A0A7R9DV82-F1-model_v6,1.00,5.64e-10,2048,2239
836,AF-A0A151P1F8-F1-model_v6,1.00,3.48e-14,1157,1405
837,AF-A0A1D2MXR2-F1-model_v6,1.00,2.97e-4,93,334
838,AF-F7FJ62-F1-model_v6,0.11,9.84e+0,543,737
839,AF-A5WUU9-F1-model_v6,0.33,4.30e+0,543,778
840,AF-Q8I628-F1-model_v6,0.28,4.67e+0,571,803
841,AF-A0A7S3NTQ2-F1-model_v6,1.00,2.24e-6,2065,2303
842,AF-Q99N09-F1-model_v6,0.38,4.48e+0,542,765
843,AF-A0A9Q1J7Z8-F1-model_v6,1.00,5.70e-7,1,229
844,AF-A0AA36H2F3-F1-model_v6,0.60,9.36e+0,556,775
845,AF-A0A3P7LZL4-F1-model_v6,1.00,1.51e-12,1987,2229
846,ProtVar_Q13425_Q14714_B,0.13,3.71e+0,358,560
847,A0A6J5Q163,0.09,3.44e+0,2294,2410
848,AF-A0A8M9PDZ8-F1-model_v6,0.21,6.24e+0,4,181
849,AF-A0A2D4GEN0-F1-model_v6,1.00,1.46e-21,2260,2496
850,AF-A0A7K4M2A1-F1-model_v6,1.00,1.15e-11,807,994
851,AF-A0AAV1Q4S4-F1-model_v6,1.00,3.37e-4,192,334
852,AF-A0A8J4UTM1-F1-model_v6,1.00,3.73e-10,1113,1386
853,AF-A0A0N4WCJ1-F1-model_v6,1.00,6.81e-4,535,729
854,AF-A9UTL7-F1-model_v6,1.00,2.07e-8,2008,2243
855,A0A345MQM9,0.10,6.96e+0,147,351
856,A0A345MR70,0.08,6.96e+0,2207,2333
857,4pkx-assembly1_A,1.00,8.79e-10,2209,2426
858,AF-A0A4W4FY12-F1-model_v6,1.00,7.41e-11,2160,2399
859,AF-V5DJU7-F1-model_v6,1.00,2.80e-5,2015,2229
860,AF-A0A060WR02-F1-model_v6,1.00,5.61e-8,1654,1871
861,AF-A0A7L0N4B7-F1-model_v6,1.00,1.40e-9,889,1151
862,AF-A0A8D8NGZ5-F1-model_v6,1.00,7.63e-7,1,241
863,AF-A0A8T2NTM8-F1-model_v6,1.00,2.88e-13,976,1200
864,AF-A0A151MZ28-F1-model_v6,1.00,1.83e-8,147,367
865,AF-A0A1E1VZ39-F1-model_v6,1.00,8.23e-5,1099,1303
866,MGYP003588615151,1.00,1.55e-6,882,1119
867,AF-A0A8S3Z5N8-F1-model_v6,1.00,4.45e-7,535,713
868,AF-A0ABD0N4J5-F1-model_v6,0.00,0.365,1653,1867
869,AF-A0A3P7JHJ4-F1-model_v6,1.00,1.04e-7,1957,2153
870,AF-A9UT35-F1-model_v6,1.00,3.93e-7,2008,2221
871,AF-A0A0S7EMA5-F1-model_v6,1.00,1.17e-17,2234,2448
872,AF-K7TXM7-F1-model_v6,0.21,9.84e+0,1,192
873,AF-Q7XKE1-F1-model_v6,0.15,9.84e+0,1,192
874,AF-A5D7M8-F1-model_v6,1.00,6.46e-7,534,733
875,AF-A0A3P7DXQ6-F1-model_v6,1.00,4.04e-6,1938,2141
876,AF-A0A7K9DJG0-F1-model_v6,1.00,2.54e-13,807,994
877,AF-B7P8T0-F1-model_v6,1.00,7.06e-9,2324,2521
878,AF-A0A820UGJ7-F1-model_v6,1.00,9.61e-8,2088,2249
879,AF-A0A1B0CBS2-F1-model_v6,1.00,3.05e-5,554,769
880,4pke-assembly1_A,1.00,1.74e-8,2209,2425
881,AF-L1JJU6-F1-model_v6,1.00,1.85e-5,2007,2199
882,AF-A0A6J2Y317-F1-model_v6,1.00,1.38e-3,2233,2425
883,MGYP003659983324,1.00,7.52e-8,1950,2155
884,AF-A2Q5Z4-F1-model_v6,1.00,2.10e-5,2005,2192
885,3.90.950.10 O14141 27-232,0.28,4.18e-1,2236,2344
886,AF-A0A1B6HUV1-F1-model_v6,1.00,3.45e-5,1064,1258
887,1.20.140.150 Q9LF03 1-183,0.10,8.61e+0,2,164
888,AF-A0A0M3J5J3-F1-model_v6,1.00,4.32e-4,553,725
889,AF-A0A091QV06-F1-model_v6,1.00,2.73e-16,2324,2521
890,AF-A0A368GKL3-F1-model_v6,1.00,3.88e-3,535,727
891,AF-G9L1K0-F1-model_v6,1.00,9.57e-13,529,723
892,AF-A0A0K0DK96-F1-model_v6,1.00,9.48e-4,179,340
893,3.90.950.10 O14141 27-232,0.28,4.18e-1,2236,2344
894,AF-A0A7J8DK34-F1-model_v6,1.00,9.48e-4,1,154
895,AF-A0AAD7R7T5-F1-model_v6,0.00,0.351,1,152
896,AF-A0A060WRK2-F1-model_v6,1.00,6.42e-5,167,334
897,A0A1B0WLX0,0.08,7.88e+0,2367,2414
898,MGYP003571918360,1.00,2.02e-5,7,202
899,4lu1-assembly1_A,0.08,8.16e+0,2250,2345
900,AF-A0A6I9PNS9-F1-model_v6,1.00,1.53e-9,885,1068
901,AF-A0A091WF12-F1-model_v6,1.00,3.78e-14,807,994
902,AF-A0A852EBI6-F1-model_v6,1.00,1.48e-13,808,994
903,AF-A0A1Y3AKM2-F1-model_v6,1.00,8.54e-10,1976,2163
904,AF-F6QJE4-F1-model_v6,1.00,4.37e-8,2122,2308
905,MGYP003539167077,0.95,6.47e+0,2,146
906,AF-A0A915IGZ2-F1-model_v6,1.00,6.65e-3,184,334
907,1.20.140.150 Q9LF03 1-183,0.10,8.61e+0,2,164
908,MGYP003282801336,0.14,8.29e+0,2238,2346
909,AF-P90908-F1-model_v6,0.00,0.313,971,1559
910,MGYP002712517963,1.00,1.05e-2,1153,1310
911,MGYP003477358506,1.00,3.41e-1,419,568
912,AF-A0A0P7W6D9-F1-model_v6,1.00,2.39e-7,983,1153
913,AF-H3DBK4-F1-model_v6,1.00,2.99e-6,182,340
914,AF-A0AAN8FDY5-F1-model_v6,1.00,4.42e-5,179,335
915,MGYP001590773217,0.94,3.77e+0,1657,1802
916,AF-A0A7S4DTL4-F1-model_v6,0.00,0.317,813,1306
917,AF-A0A161M2S1-F1-model_v6,1.00,1.34e-7,2141,2310
918,MGYP003387015629,1.00,1.46e+0,1667,1807
919,MGYP001416617548,0.23,7.32e+0,2265,2344
920,1.20.140.150 Q9LF03 1-183,0.10,8.61e+0,2,164
921,AF-A0A1Y3BM33-F1-model_v6,1.00,2.45e-8,2188,2348
922,AF-A0A1S4EIH6-F1-model_v6,1.00,1.32e-8,2007,2184
923,AF-A0A091M6A8-F1-model_v6,1.00,4.22e-10,2355,2520
924,AF-A0A7L0XZD8-F1-model_v6,1.00,2.42e-11,807,967
925,AF-A0A4U5VGN9-F1-model_v6,1.00,2.74e-4,198,334
926,AF-A0A2P4S4L5-F1-model_v6,1.00,4.78e-10,771,930
927,AF-A0A6I9MZX9-F1-model_v6,1.00,3.01e-8,566,712
928,ProtVar_B7ZAQ6_Q13021_B,0.08,5.17e+0,1958,2081
929,2.60.40.1820 A0A0N7KN40 103-244,0.06,9.35e+0,2202,2331
930,A0A6J7WZ05,0.12,4.23e+0,2383,2470
931,MGYP002234551852,0.15,9.39e+0,2236,2344
932,MGYP003439259874,0.92,4.10e+0,214,334
933,AF-A0A0T6BBD2-F1-model_v6,1.00,2.21e-2,1,131
934,A0A3T0IEA9,0.12,6.14e+0,2209,2333
935,2.40.30.30 P0AG40 187-311,0.08,4.63e+0,2382,2452
936,A0A8S5L4V6,0.06,6.67e+0,2259,2344
937,A0A8S5SMA1,0.05,7.88e+0,2206,2327
938,AF-A0A1A8JTR3-F1-model_v6,1.00,5.22e-5,2211,2328
939,H9NBU2,0.06,5.89e+0,2203,2332
940,A0A1L3KIL5,0.04,8.92e+0,2264,2347
941,3.10.440.10 A4IBL9 65-182,0.14,6.18e+0,2376,2421
942,2qud-assembly1_B,0.06,7.83e+0,2265,2348
943,A0A8S5L0T3,0.03,9.69e+0,2263,2348
944,A0A514CU95,0.06,4.99e+0,2304,2412
945,2.60.40.10 K7M2Q3 104-208,0.12,2.59e+0,2201,2327
946,A0A4P8W7L3,0.12,4.60e+0,2331,2420
947,A0A1B0WLV9,0.04,8.21e+0,2261,2346
948,A0A6G5YKC7,0.06,6.14e+0,2269,2344
