,region,tg,prob,eval,taxid,lineage,dbStartPos,dbEndPos,qStartPos,qEndPos
850,beam,AF-A0A5J4XY78-F1-model_v6,1.0,1.85e-06,2608996.0,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia;unclassified Trebouxia;Trebouxia sp. A1-2,259,824,36,851
851,beam,AF-A0A6A4MBG7-F1-model_v6,1.0,5.19e-08,262921.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;Ericales;Ericaceae;Ericoideae;Rhodoreae;Rhododendron;Rhododendron williamsianum,146,911,10,837
853,beam,AF-A0A8T3E3G7-F1-model_v6,1.0,7.13e-37,1534307.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Elopocephalai;Elopocephala;Elopomorpha;Albuliformes;Albulidae;Albulinae;Albula;Albula goreensis,192,848,70,852
854,beam,AF-A0A0V1FX63-F1-model_v6,1.0,9.36e-31,6337.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Enoplea;Dorylaimia;Trichinellida;Trichinellidae;Trichinella;Trichinella pseudospiralis,98,787,1,852
857,beam,AF-A0A9P0M5D4-F1-model_v6,1.0,2.9099999999999996e-23,200917.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Chrysomeloidea;Chrysomelidae;Bruchinae;Bruchini;Acanthoscelides;Acanthoscelides obtectus,144,813,1,850
861,beam,AF-A0A915ANH7-F1-model_v6,1.0,8.96e-13,6257.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Ascaridomorpha;Ascaridoidea;Ascarididae;Parascaris;Parascaris univalens,217,809,2,852
862,beam,AF-A0A914UZ51-F1-model_v6,1.0,6.44e-29,2011161.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Plectida;Plectina;Plectoidea;Plectidae;Plectus;Plectus sambesii,52,821,9,852
863,beam,AF-A0AAV2PTF5-F1-model_v6,1.0,1.45e-25,48144.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Eucarida;Euphausiacea;Euphausiidae;Meganyctiphanes;Meganyctiphanes norvegica,7,789,273,852
864,beam,AF-A0A8T0ZJ80-F1-model_v6,1.0,5.94e-13,29920.0,cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora cactorum,204,836,348,851
865,beam,AF-A0A8S1WAT3-F1-model_v6,1.0,1.46e-10,43138.0,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium pentaurelia,97,811,133,848
866,beam,AF-A0A3Q0JIM1-F1-model_v6,1.0,1.83e-19,121845.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Psyllidae;Diaphorininae;Diaphorina;Diaphorina citri,197,893,2,850
867,beam,AF-A0AA88GF15-F1-model_v6,1.0,3.26e-19,51637.0,cellular organisms;Eukaryota;Discoba;Heterolobosea;Tetramitia;Eutetramitia;Vahlkampfiidae;Naegleria;Naegleria lovaniensis,18,789,29,851
870,beam,AF-A0A4Y7L8I8-F1-model_v6,1.0,9.98e-07,3469.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Ranunculales;Papaveraceae;Papaveroideae;Papaver;Papaver somniferum,418,1167,2,840
871,beam,AF-A0A818JV57-F1-model_v6,1.0,8.68e-17,392032.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Gnathifera;Rotifera;Eurotatoria;Bdelloidea;Philodinida;Philodinidae;Rotaria;Rotaria socialis,27,770,68,851
873,beam,AF-A0A0B2VML1-F1-model_v6,1.0,1.06e-15,6265.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Ascaridomorpha;Ascaridoidea;Toxocaridae;Toxocara;Toxocara canis,100,543,325,847
874,beam,AF-A0AA35WA03-F1-model_v6,1.0,1.08e-22,519541.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Tetractinellida;Astrophorina;Geodiidae;Geodia;Geodia barretti,147,779,1,852
875,beam,AF-A0A267FGS4-F1-model_v6,1.0,9.54e-22,282301.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Macrostomorpha;Macrostomida;Macrostomidae;Macrostomum;Macrostomum lignano,60,729,68,852
876,beam,AF-A0AAN9VLX4-F1-model_v6,1.0,4.290000000000001e-31,2509291.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Ensifera;Gryllidea;Grylloidea;Gryllidae;Gryllinae;Gryllus;Gryllus longicercus,1,764,96,852
877,beam,AF-A0ABD1CZ82-F1-model_v6,1.0,1.71e-24,38569.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Nematocera;Culicomorpha;Culicoidea;Culicidae;Culicinae;Culicini;Culex;Culex;Culex pipiens complex;Culex pipiens;Culex pipiens pipiens,24,756,53,850
878,beam,AF-A0A7S3VTN3-F1-model_v6,1.0,1e-07,3047.0,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;CS clade;Chlamydomonadales;Dunaliellaceae;Dunaliella;Dunaliella tertiolecta,3,872,284,851
879,beam,AF-A0A5C6P1S9-F1-model_v6,1.0,1.27e-36,433684.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Tetraodontoidei;Tetradontoidea;Tetraodontidae;Takifugu;Takifugu flavidus,77,786,68,852
880,beam,AF-A0A8B7DUG8-F1-model_v6,1.0,1.6399999999999998e-23,6087.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Aplanulata;Hydridae;Hydra;Hydra vulgaris,94,776,1,852
881,beam,AF-A0A183GYL3-F1-model_v6,1.0,1.64e-07,387005.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Onchocerca;Onchocerca flexuosa,250,723,139,852
882,beam,AF-A0A915M3J2-F1-model_v6,1.0,1.94e-08,6303.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Tylenchomorpha;Tylenchoidea;Meloidogynidae;Meloidogyninae;Meloidogyne;Meloidogyne incognita group;Meloidogyne javanica,192,851,1,839
883,beam,AF-A0A226EKW9-F1-model_v6,1.0,1.29e-28,158441.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Collembola;Entomobryomorpha;Isotomoidea;Isotomidae;Proisotominae;Folsomia;Folsomia candida,20,746,9,852
884,beam,AF-A0A6F9ATM2-F1-model_v6,1.0,7.46e-22,861768.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Protacanthopterygii;Salmoniformes;Salmonidae;Coregoninae;Coregonus;unclassified Coregonus;Coregonus sp. 'balchen',1,957,109,845
885,beam,AF-A0A0B7AR40-F1-model_v6,1.0,1.75e-34,1028688.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Panpulmonata;Eupulmonata;Stylommatophora;Helicina;Arionoidea;Arionidae;Arion;Arion vulgaris,51,737,1,852
887,beam,AF-A0A196SI25-F1-model_v6,1.0,2.71e-11,478820.0,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Opalinata;Blastocystidae;Blastocystis;Blastocystis hominis;Blastocystis sp. ATCC 50177/Nand II,184,736,256,851
888,beam,AF-A0A4D9E3Z0-F1-model_v6,1.0,1.51e-40,55544.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Testudinata;Testudines;Cryptodira;Durocryptodira;Testudinoidea;Platysternidae;Platysternon;Platysternon megacephalum,2,742,141,852
889,beam,AF-A0A418DDV9-F1-model_v6,1.0,4.77e-07,112090.0,cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Saprolegniomycetes;Saprolegniales;Verrucalvaceae;Aphanomyces;Aphanomyces astaci,225,794,233,851
890,beam,AF-A0A2G8KG58-F1-model_v6,1.0,4.65e-30,307972.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Eleutherozoa;Echinozoa;Holothuroidea;Aspidochirotacea;Aspidochirotida;Stichopodidae;Apostichopus;Apostichopus japonicus,5,762,112,852
891,beam,AF-A0A0N5CXE1-F1-model_v6,1.0,8.17e-09,103827.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Thelazioidea;Thelaziidae;Thelazia;Thelazia callipaeda,179,732,8,852
892,beam,AF-A0A3N0XTK6-F1-model_v6,1.0,2.95e-46,495550.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Xenocyprididae;Xenocypridinae;Xenocypridinae incertae sedis;Anabarilius;Anabarilius grahami,24,741,143,852
894,beam,AF-A0A453EUB4-F1-model_v6,1.0,8.89e-10,200361.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Triticinae;Aegilops;Aegilops tauschii;Aegilops tauschii subsp. strangulata,2,745,49,847
896,beam,AF-A0A1I8GQH9-F1-model_v6,1.0,9.47e-19,282301.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Macrostomorpha;Macrostomida;Macrostomidae;Macrostomum;Macrostomum lignano,218,1052,6,852
897,beam,AF-K2NF10-F1-model_v6,1.0,2.63e-15,85056.0,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Trypanosoma;Schizotrypanum;Trypanosoma cruzi;Trypanosoma cruzi marinkellei,184,861,199,851
899,beam,AF-A0AB34GB94-F1-model_v6,1.0,4.19e-38,9764.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Whippomorpha;Cetacea;Mysticeti;Eschrichtiidae;Eschrichtius;Eschrichtius robustus,14,788,198,852
900,beam,AF-A0A9P0KJ22-F1-model_v6,1.0,1.14e-25,200917.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Chrysomeloidea;Chrysomelidae;Bruchinae;Bruchini;Acanthoscelides;Acanthoscelides obtectus,51,683,58,852
901,beam,AF-A0A914N2I7-F1-model_v6,1.0,2.11e-27,6306.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Tylenchomorpha;Tylenchoidea;Meloidogynidae;Meloidogyninae;Meloidogyne;Meloidogyne incognita group;Meloidogyne incognita,18,728,127,852
903,beam,AF-A0A7R9CQG1-F1-model_v6,1.0,1.09e-26,61476.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Phasmatodea;Timematodea;Timematoidea;Timematidae;Timema;Timema cristinae,5,738,70,852
905,beam,AF-A0A553R787-F1-model_v6,1.0,8.020000000000001e-35,623744.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Danionidae;Danioninae;Danionella;Danionella translucida,16,689,68,852
906,beam,AF-A0A7G2C012-F1-model_v6,1.0,2.11e-10,59799.0,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Strigomonadinae;Angomonas;Angomonas deanei,98,631,200,848
907,beam,AF-A0A1S3HPU6-F1-model_v6,1.0,5.27e-31,7574.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Brachiopoda;Linguliformea;Lingulata;Lingulida;Linguloidea;Lingulidae;Lingula;Lingula anatina,20,679,121,852
908,beam,AF-A0A1I8CPI5-F1-model_v6,1.0,8.770000000000001e-21,114890.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Panagrolaimomorpha;Strongyloidoidea;Alloionematidae;Rhabditophanes;unclassified Rhabditophanes;Rhabditophanes sp. KR3021,27,660,1,851
909,beam,AF-A0A3P7E8S5-F1-model_v6,1.0,2.89e-05,6293.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Wuchereria;Wuchereria bancrofti,4,211,608,852
911,beam,AF-A0A1S3QF89-F1-model_v6,1.0,1.16e-35,8030.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Protacanthopterygii;Salmoniformes;Salmonidae;Salmoninae;Salmo;Salmo salar,210,875,68,852
912,beam,AF-A0A0C9R8R9-F1-model_v6,1.0,1.87e-28,64838.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Hymenoptera;Apocrita;Ichneumonoidea;Braconidae;Opiinae;Fopius;Fopius arisanus,7,608,173,852
913,beam,AF-A0A2G8LNX9-F1-model_v6,1.0,6.449999999999999e-30,307972.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Eleutherozoa;Echinozoa;Holothuroidea;Aspidochirotacea;Aspidochirotida;Stichopodidae;Apostichopus;Apostichopus japonicus,25,663,172,852
917,beam,AF-A0A8S2R756-F1-model_v6,1.0,2.02e-09,392030.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Gnathifera;Rotifera;Eurotatoria;Bdelloidea;Philodinida;Philodinidae;Rotaria;Rotaria magnacalcarata,295,1018,6,753
920,beam,AF-A0A7R9I936-F1-model_v6,1.0,1.3599999999999999e-30,61484.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Phasmatodea;Timematodea;Timematoidea;Timematidae;Timema;Timema tahoe,4,760,16,852
921,beam,AF-A0A836CXX6-F1-model_v6,1.0,7.49e-07,9940.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Bovidae;Caprinae;Ovis;Ovis aries,437,924,106,711
922,beam,AF-A0A2H8TD61-F1-model_v6,1.0,8.200000000000001e-27,742174.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Aphidomorpha;Aphidoidea;Aphididae;Aphidinae;Aphidini;Melanaphis;Melanaphis sacchari,45,619,172,852
923,beam,AF-A0A9N9MSI1-F1-model_v6,1.0,1.77e-22,467358.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Curculionoidea;Curculionidae;Ceutorhynchinae;Ceutorhynchus;Ceutorhynchus assimilis,141,811,1,851
924,beam,AF-A0A0D6MDC8-F1-model_v6,1.0,3.19e-28,53326.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Strongyloidea;Ancylostomatidae;Ancylostomatinae;Ancylostoma;Ancylostoma ceylanicum,1,680,71,852
926,beam,AF-A0A9J2Q5G7-F1-model_v6,1.0,5.94e-13,6252.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Ascaridomorpha;Ascaridoidea;Ascarididae;Ascaris;Ascaris lumbricoides,24,598,125,852
927,beam,AF-A0A5J4W070-F1-model_v6,1.0,2.01e-07,222440.0,cellular organisms;Eukaryota;Metamonada;Preaxostyla;Oxymonadida;Streblomastigidae;Streblomastix;Streblomastix strix,2,549,143,851
928,beam,AF-A0A915KAT0-F1-model_v6,1.0,1.58e-25,13658.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Enoplea;Dorylaimia;Mermithida;Mermithoidea;Mermithidae;Romanomermis;Romanomermis culicivorax,12,628,143,852
929,beam,AF-A0A7J5YJ68-F1-model_v6,1.0,2.54e-35,36200.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Perciformes;Notothenioidei;Nototheniidae;Dissostichus;Dissostichus mawsoni,36,882,1,845
930,beam,AF-A0A1A7X1H1-F1-model_v6,1.0,9.480000000000001e-36,60296.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Atherinomorphae;Cyprinodontiformes;Aplocheiloidei;Nothobranchiidae;Iconisemion;Iconisemion striatum,30,609,200,852
931,beam,AF-A6IXL9-F1-model_v6,1.0,1.08e-37,10116.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Rattus;Rattus norvegicus,2,627,51,852
932,beam,AF-A0A6G1RNA9-F1-model_v6,1.0,1.95e-45,2861861.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Gruiformes;Rallidae;Hypotaenidia;Hypotaenidia okinawae,2,623,237,852
933,beam,AF-A0A4Z2BWV0-F1-model_v6,1.0,1.08e-38,433685.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Tetraodontoidei;Tetradontoidea;Tetraodontidae;Takifugu;Takifugu bimaculatus,6,801,143,852
936,beam,AF-A0A7S3IKS3-F1-model_v6,1.0,9.98e-07,197538.0,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Oligotrichia;Strombidiidae;Strombidium;Strombidium inclinatum,22,896,139,851
938,beam,AF-A0A6S7I9M5-F1-model_v6,1.0,1.58e-26,317549.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Plexauridae;Paramuricea;Paramuricea clavata,12,606,68,850
939,beam,AF-A0A397EUN1-F1-model_v6,1.0,2.18e-06,112090.0,cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Saprolegniomycetes;Saprolegniales;Verrucalvaceae;Aphanomyces;Aphanomyces astaci,222,598,483,851
940,beam,AF-J9ER22-F1-model_v6,1.0,2.03e-10,6293.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Wuchereria;Wuchereria bancrofti,230,813,2,852
941,beam,AF-A0AAV3ANW8-F1-model_v6,1.0,1.17e-36,30357.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Neobatrachia;Ranoidea;Pyxicephalidae;Pyxicephalinae;Pyxicephalus;Pyxicephalus adspersus,51,621,272,852
942,beam,AF-A0AAD4N178-F1-model_v6,1.0,3.9000000000000004e-26,166010.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Tylenchomorpha;Sphaerularioidea;Anguinidae;Anguininae;Ditylenchus;Ditylenchus destructor,9,649,140,850
943,beam,AF-A0A821N2H6-F1-model_v6,1.0,2.8e-25,392032.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Gnathifera;Rotifera;Eurotatoria;Bdelloidea;Philodinida;Philodinidae;Rotaria;Rotaria socialis,2,579,127,852
